ISBN-13: 978-7662873331,Python for Everybody,Charles Severance
ISBN-13: 978-0387790534,Introductory Statistics with R,Peter Dalgaard 
ISBN-13: 978-1292263359,Modern Database Management 12th edition,Jeffrey A. Hoffer
ISBN-13: 978-1118879368,Data Mining for Business Analytics,Wiley
ISBN-13: 978-9352604180,Data Analytics,Anil Maheshwari
ISBN-13: 978-7645327895,Introduction to Data Warehousing and Business Intelligence,Christian S. Jensen
ISBN-13: 978-1337406659,Practical Management Science ,Wayne l. Winston
ISBN-13: 978-0596521974,Hadoop,Tom White
ISBN-13: 978-0262035613,Deep Learning,Aaron Courville 
